"","Player","doubles","triples","home_runs","singles"
"224","Dan Thomas",0.0258899676375405,0.0161812297734628,0.00647249190938511,0.233009708737864
"225","Johnny Robinson",0.0452674897119342,0.00823045267489712,0.0205761316872428,0.201646090534979
"226","Judy Johnson",0.0518064076346285,0.0136332651670075,0.00852079072937969,0.201772324471711
"227","Harry Simpson",0.0416666666666667,0.00657894736842105,0.00657894736842105,0.203947368421053
"228","Butler White",0.0357142857142857,0.0285714285714286,0.00714285714285714,0.171428571428571
"229","Claude Johnson",0.0328336902212705,0.00499643112062812,0.0114204139900071,0.199857244825125
"230","Harry Williams",0.0440967283072546,0.015647226173542,0.0120910384068279,0.191322901849218
"231","Oliver Marcell",0.0327575938058368,0.01131625967838,0.0083382966051221,0.210839785586659
"232","Buck Ewing",0.0448275862068966,0.0241379310344828,0.0103448275862069,0.186206896551724
"233","John Bissant",0.0321931589537223,0.0181086519114688,0.00402414486921529,0.197183098591549
"234","Ray Noble",0.0524590163934426,0.019672131147541,0.0163934426229508,0.140983606557377
"235","Jim Starks",0.0420032310177706,0.00484652665589661,0.024232633279483,0.164781906300485
"236","Ray Brown",0.0531991373112868,0.01509705248023,0.0179726815240834,0.155283968368081
"237","Jim Gilliam",0.0371681415929204,0.015929203539823,0,0.180530973451327
"238","Ray Neil",0.0539772727272727,0.00852272727272727,0.00568181818181818,0.193181818181818
"239","Frank Stephens",0.0577777777777778,0.0111111111111111,0.0133333333333333,0.171111111111111
"240","Johnny Hundley",0.018348623853211,0.00917431192660551,0,0.211009174311927
"241","N. Stevens",0.0344827586206897,0.00862068965517241,0.00862068965517241,0.224137931034483
"242","Halley Harding",0.0447585394581861,0.0129564193168433,0.00235571260306243,0.199646643109541
"243","Ed Finney",0.0194174757281553,0.0145631067961165,0.00485436893203883,0.203883495145631
"244","Cleveland Clark",0.0365853658536585,0.0203252032520325,0.0040650406504065,0.16869918699187
"245","Fran Matthews",0.0311111111111111,0.0133333333333333,0.0133333333333333,0.162222222222222
"246","Pete Washington",0.0343300110741971,0.00941306755260244,0.0232558139534884,0.172203765227021
"247","Anastasio Santaella",0.06,0.004,0.004,0.196
"248","Red Moore",0.0352733686067019,0.0141093474426808,0.00529100529100529,0.194003527336861
"249","Emmett Wilson",0.0315789473684211,0.0263157894736842,0.00526315789473684,0.173684210526316
"250","Russell Awkard",0.0153846153846154,0.0153846153846154,0.0153846153846154,0.215384615384615
"251","Bill Johnson",0.0397923875432526,0.0190311418685121,0.013840830449827,0.176470588235294
"252","Bill Cooper",0.0380794701986755,0.00496688741721854,0.00993377483443709,0.198675496688742
"253","Rainey Bibbs",0.0277044854881266,0.0118733509234828,0.00131926121372032,0.224274406332454
"254","Lee Moody",0.0408602150537634,0.00645161290322581,0.0043010752688172,0.221505376344086
"255","Bill Cash",0.0345158197507191,0.0162991371045062,0.00767018216682646,0.182166826462128
"256","Buck O'Neil",0.0387275242047026,0.0159059474412171,0.00829875518672199,0.173582295988935
"257","Chico Renfroe",0.0364963503649635,0.0145985401459854,0.00182481751824818,0.171532846715328
"258","Newt Allen",0.0367647058823529,0.0127450980392157,0.00514705882352941,0.203186274509804
"259","Duke Cleveland",0.0184563758389262,0.00838926174496644,0.00335570469798658,0.209731543624161
"260","Ameal Brooks",0.0338983050847458,0.0127118644067797,0.019774011299435,0.156779661016949
"261","Elmer Wilson",0.051948051948052,0.0194805194805195,0.0324675324675325,0.136363636363636
"262","Jasper Washington",0.0630630630630631,0.00900900900900901,0.0045045045045045,0.207207207207207
"263","James Buford",0.029925187032419,0.0124688279301746,0.00748129675810474,0.226932668329177
"264","Goose Tatum",0.0375586854460094,0.0164319248826291,0.00704225352112676,0.187793427230047
"265","Clyde Spearman",0.026344676180022,0.0197585071350165,0.00439077936333699,0.194291986827662
"266","Tom Cooper",0.0245398773006135,0.00920245398773006,0.00613496932515337,0.196319018404908
"267","Gene Benson",0.0355630821337849,0.0135478408128704,0.00762066045723963,0.208298052497883
"268","Lou Dials",0.0396551724137931,0.0206896551724138,0.0120689655172414,0.158620689655172
"269","Otto Briggs",0.0313676286072773,0.0100376411543287,0.00250941028858218,0.208908406524467
"270","George Shively",0.0175658720200753,0.0200752823086575,0,0.230865746549561
"271","Spottswood Poles",0.0234375,0.0078125,0,0.2109375
"272","Willie Green",0.026378896882494,0.00959232613908873,0,0.206235011990408
"273","Bill Harvey",0.0333333333333333,0.0155555555555556,0.0155555555555556,0.153333333333333
"274","Archie Brathwaite",0.0438799076212471,0.0115473441108545,0.0092378752886836,0.173210161662818
"275","Thad Christopher",0.0402476780185759,0.00773993808049536,0.0170278637770898,0.153250773993808
"276","Sam Bankhead",0.0339483394833948,0.0125461254612546,0.00627306273062731,0.197047970479705
"277","Jake Dunn",0.0386352232814852,0.014550928248871,0.0125439036628199,0.182137481184144
"278","Harry Kenyon",0.0434451219512195,0.0144817073170732,0.00685975609756098,0.195121951219512
"279","Ángel Alfonso",0.0423162583518931,0.014105419450631,0.0118782479584261,0.170007423904974
"280","Sandy Thompson",0.036697247706422,0.00840978593272171,0.00267584097859327,0.225152905198777
"281","Alphonse Dunn",0.0170212765957447,0.0170212765957447,0.00425531914893617,0.178723404255319
"282","Sam Hill",0.0529100529100529,0,0.00529100529100529,0.206349206349206
"283","Charlie Parks",0.034136546184739,0.0120481927710843,0.00803212851405622,0.172690763052209
"284","Reinaldo Drake",0.0310077519379845,0.00775193798449612,0.00516795865633075,0.201550387596899
"285","O'Neal Pullen",0.0245901639344262,0.0163934426229508,0.00819672131147541,0.221311475409836
"286","Ray Sheppard",0.0414634146341463,0.0170731707317073,0.0121951219512195,0.184146341463415
"287","Bernell Longest",0.0339805825242718,0.00970873786407767,0,0.218446601941748
"288","Ruben Jones",0.043609022556391,0.0142857142857143,0.0120300751879699,0.200751879699248
"289","Dave Hoskins",0.0355871886120996,0.0160142348754448,0.00533807829181495,0.202846975088968
"290","Dan Wilson",0.0377880184331797,0.015668202764977,0.00184331797235023,0.192626728110599
"291","Mack Eggleston",0.0390913893291072,0.01162176439514,0.0126782884310618,0.170100369783413
"292","Pinky Ward",0.0373134328358209,0.0104477611940299,0.00597014925373134,0.171641791044776
"293","Clyde Nelson",0.0452127659574468,0.00531914893617021,0.0106382978723404,0.172872340425532
"294","Tom Finley",0.0533642691415313,0.00464037122969838,0.0174013921113689,0.165893271461717
"295","Edsall Walker",0.0254777070063694,0.0191082802547771,0.0159235668789809,0.187898089171975
"296","John Hines",0.0446293494704992,0.0128593040847201,0.00529500756429652,0.187594553706505
"297","Joe Strong",0.0492476060191518,0.00820793433652531,0.012311901504788,0.160054719562244
"298","Mickey Taborn",0.0589812332439678,0,0.00268096514745308,0.18230563002681
"299","Bill Perkins",0.0355603448275862,0.0145474137931034,0.015625,0.185344827586207
"300","Harry Else",0.0279329608938547,0.0111731843575419,0.00279329608938547,0.201117318435754
"301","Matt Carlisle",0.0341935483870968,0.02,0.00774193548387097,0.181935483870968
"302","Henry Williams",0.0472727272727273,0.0136363636363636,0.0145454545454545,0.190909090909091
"303","Dink Mothell",0.04073756432247,0.0137221269296741,0.00771869639794168,0.163379073756432
"304","Wesley Hicks",0.013953488372093,0.00930232558139535,0.00465116279069767,0.195348837209302
"305","Cheo Hernández",0.0471698113207547,0,0.0283018867924528,0.141509433962264
"306","Bill Byrd",0.035632183908046,0.0114942528735632,0.0183908045977011,0.168965517241379
"307","Willie Gray",0.0453808752025932,0.0145867098865478,0.00648298217179903,0.175040518638574
"308","Gene Baker",0.045,0.035,0.015,0.13
"309","Comer Cox",0.0235849056603774,0.00943396226415094,0.00471698113207547,0.231132075471698
"310","Pedro San Martin",0.0656934306569343,0.0072992700729927,0.0145985401459854,0.153284671532847
"311","LeRoy Taylor",0.0316498316498317,0.0121212121212121,0.00336700336700337,0.232996632996633
"312","Red McNeal",0.0326086956521739,0.0108695652173913,0.0072463768115942,0.188405797101449
"313","Sylvester Snead",0.0609318996415771,0.010752688172043,0.003584229390681,0.125448028673835
"314","Ike Thomas",0.0277777777777778,0,0,0.222222222222222
"315","Ramón Rojas",0.0338983050847458,0.00847457627118644,0.0169491525423729,0.194915254237288
"316","John Miles",0.0404624277456647,0.0115606936416185,0.023121387283237,0.144508670520231
"317","Porter Dallas",0.0348837209302326,0.00290697674418605,0.00581395348837209,0.223837209302326
